0,1,2,3,4,5,6
,1.01,0.98,0.98,0.97,0.98,0.96
,1.03,1.0,0.99,0.98,0.98,0.96
GVAO/GVA N I PA,0.99,0.97,0.97,0.96,0.97,0.95
,1.01,0.98,0.98,0.97,0.98,0.95
,0.99,0.98,0.97,0.99,1.02,1.0
CONfo/CONftIPA,1.04,1.03,1.04,0.99,1.02,0.99
IGfo/IGR[PA,0.72,0.69,0.67,0.8,0.74,0.74
(X-IM)f o/(X-IM)R I PA,1.04,0.78,-0.7,0.92,0.99,1.11
GO/GNIPA,1.11,1.01,1.03,1.02,1.09,1.1
