0,1,2,3,4,5,6,7,8
Wreal =  W / p c,billions of  1982,641.1,643.57,682.3,741.84,782.03,816.71,809.86
"Va, =  VVpC",billions of  1982,344.01,332.12,355.58,380.98,390.89,404.79,384.71
(Wu)reaI =  W u / pc,billions of  1982,297.09,311.45,326.72,360.86,391.14,411.92,425.15
pc,,25.7,25.6,26.2,27.8,28.4,29.0,29.1
ecp = VVLp = Wp/Lp,/prod. worker/year,2679.59,2724.93,2890.85,3197.52,3387.82,3552.62,3584.71
ecu = Wu/Lu,/unpr. worker/year,3017.07,3100.28,3245.65,3430.59,3619.7,3828.25,3978.9
L u/L p,,0.77,0.82,0.82,0.88,0.94,0.94,1.0
ec^ecp,,1.13,1.14,1.12,1.07,1.07,1.08,1.11
L p/L,,0.57,0.55,0.55,0.53,0.52,0.51,0.5
Variables,Units,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0
WV,billions of,252.73,272.67,286.75,289.27,311.71,328.35,338.08
,billions of,120.52,128.82,133.0,127.72,139.57,144.23,146.13
,,0.48,0.47,0.46,0.44,0.45,0.44,0.43
