0,1,2,3,4,5,6,7,8
,,Dummy,,T o t al,,,,
,VA,,Roy.,,Production,,,
,,Sectors,,T r a de,,,,
f 3,If!,,8.,w f,,,,
,,,,,,Agric.,,
,,,,,,Manuf.,,
I,,,,,,,cn,
,,,,,,Prod.,,
,,,,,,"Servic,",,
,,,,,,Whsle.,,
,,,,,,&Ret.,Ho E,
I,,,,,,Bldg.,,
,,,,,,,,
,,,,,,Rental,,T H
,,,,,,Govt.,,
,,,,,,Trading,,
,,,,,,Ground,,
,,,,,,Rental,,
,1,,,,,Finance,,
,,,,,,,,
,,,,,,Alns.,,
1,,,,,,Govt,,
,,,,,,,,
,,,,,,Ind.,,
,,,,,,,,
,,,,,,Hshld.,2,
,f,,,,,Ind.,,
,,,,,,,,
,,,,,,ROW,,
,,,,,,Ind.,,
,,,r,,,,3 so,
,,,,,,o,,-
,,,,,,,,
,,i,a,,,,,
