0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,Agnculture,,,,,,,,,,,,,,,
Table G.I,0*P)Mr =  (EC/FEE) M r«(ec p) a gr,$/worker/year,6857.0,7548.0,8213.0,9.169,9836.0,10.739,11482.0,11.634,12302.0,12833.0,13219.0,13708.0,13987.0,15.045
607B4,FEEMr,thousands,1532.0,1490.0,1525.0,1524.0,1530.0,1.444,1480.0,1.477,1466.0,1.458,1476.0,1.561,1648.0,1.608
604B4,,millions of S,10505.0,11246.0,12525.0,13973.0,15049.0,15507.0,16993.0,17183.0,18034.0,18.71,19511.0,21.398,23050.0,24.192
Table G.I,( L p ) ur,thousands,2.439,2360.0,2389.0,2.372,2383.0,2305.0,2298.0,2173.0,2167.0,2096.0,2079.0,2170.0,2216.0,2.169
,V M r=(ec p). gr x (L p ) Mr = (W p) Mr,millions of  $,16727.0,17814.0,19624.0,21.752,23441.0,24755.0,26383.0,25281.0,26662.0,26898.0,27482.0,29746.0,30995.0,32.625
,Government enterprises,,,,,,,,,,,,,,,
,wge = (EC/FEE)ge = (ecp) ge,$/worker/year,15882.0,16915.0,18005.0,19313.0,21279.0,23828.0,25336.0,26996.0,28485.0,30220.0,31225.0,32842.0,34768.0,36115.0
607B81,F E E g eW,thousands,819.0,813.0,821.0,838.0,846.0,852.0,836.0,834.0,857.0,860.0,856.0,882.0,908.0,917.0
607B86,"FEEge$,",thousands,645.0,650.0,680.0,700.0,730.0,727.0,728.0,743.0,760.0,791.0,822.0,833.0,848.0,868.0
,FEE g e l 0 U|,thousands,1464.0,1463.0,1501.0,1538.0,1576.0,1579.0,1.564,1577.0,1617.0,1651.0,1678.0,1715.0,1756.0,1785.0
604B8I,ECfed,millions of $,14057.0,14918.0,16079.0,17600.0,19749.0,22434.0,23106.0,24783.0,26894.0,28776.0,29306.0,32012.0,35098.0,36617.0
6048 86,ECji,millions of  $,9194.0,9829.0,10946.0,12104.0,13787.0,15190.0,16520.0,17.789,19166.0,21118.0,23089.0,24312.0,25954.0,27849.0
,EC g e l 0 Ul,millions of S,23.251,24747.0,27025.0,29704.0,33536.0,37624.0,39626.0,42.572,46060.0,49894.0,52395.0,56324.0,61.052,64466.0
Table F.I,,thousands,573.0,566.0,569.0,575.0,571.0,568.0,548.0,542.0,553.0,551.0,542.0,557.0,570.0,574.0
Table F.I,,thousands,451.0,452.0,471.0,481.0,493.0,485.0,478.0,483.0,492.0,506.0,521.0,527.0,534.0,544.0
,(Lp)|Isi=(Lp/L)(J3^x Lg*,,,,,,,,,,,,,,,
Table F.I,(Lp)fetoul = (Lp)fefed +  ( L p ) g e s |,thousands,1.025,1018.0,1040.0,1.056,1064.0,1.053,1026.0,1025.0,1044.0,1057.0,1063.0,1084.0,1105.0,1118.0
,"Vge =  ( e c p ) g e x ( L p ) g e t 0 U ,",millions of S,16272.0,17221.0,18731.0,20391.0,22641.0,25079.0,25994.0,27666.0,29744.0,31940.0,33198.0,35595.0,38.413,40382.0
,TOTAL  TRADE  = WH,millions of  $,198096.0,219376.0,247987.0,279124.0,305437.0,331967.0,349949.0,373944.0,412947.0,440117.0,468204.0,500999.0,542.817,576191.0
,Wholesale  trade,,,,,,,,,,,,,,,
Table G.I,"WWh,r",millions of $,72729.0,80191.0,91013.0,104562.0,116543.0,128702.0,135414.0,141433.0,157541.0,167464.0,176017.0,188082.0,206.821,221875.0
,Ret Ail  trade,,,,,,,,,,,,,,,
Table G.I,,millions of $,117.734,130376.0,146357.0,161826.0,174849.0,188315.0,198455.0,214158.0,234340.0,249111.0,266681.0,284432.0,303.861,321033.0
,Building  rental,,,,,,,,,,,,,,,
Table G.I,,millions of $,7.634,8809.0,10616.0,12736.0,14045.0,14950.0,16080.0,18353.0,21067.0,23542.0,25506.0,28485.0,32136.0,33283.0
,wbf=wre-wgr,,,,,,,,,,,,,,,
,ROYALTIES =  Wr,millions of S,60880.0,68330.0,78887.0,90144.0,102955.0,115041.0,128739.0,144817.0,159358.0,176610.0,200213.0,223111.0,242605.0,249835.0
,Finance and insurance,,,,,,,,,,,,,,,
Table G.I,,millions of S,50.026,55781.0,63736.0,72206.0,83174.0,93984.0,106091.0,118967.0,129687.0,143.452,164290.0,182992.0,197343.0,202957.0
,wfi,,,,,,,,,,,,,,,
,Ground rent,,,,,,,,,,,,,,,
Table G.I,,millions of $,10854.0,12549.0,15151.0,17938.0,19782.0,21056.0,22648.0,25850.0,29671.0,33.158,35.924,40119.0,45261.0,46878.0
,wre,,,,,,,,,,,,,,,
,DUMMY = Wd,millions of  $,203818.0,220498.0,240542.0,260444.0,288253.0,316738.0,343899.0,366390.0,390890.0,418975.0,443.799,472950.0,505779.0,541555.0
,Government,,,,,,,,,,,,,,,
Table G.I,"W.ov.0,",millions of S,203818.0,220498.0,240542.0,260444.0,288253.0,316738.0,343899.0,366390.0,390890.0,418975.0,443.799,472.95,505779.0,541555.0
Table G.I,W=Total  EC and WEQ,millions of  $,1140356.0,1.268469,1433637.0,1610759.0,1773254.0,1956867.0,2071620.0,2199810.0,2404596.0,2565699.0,2719892.0,2.913.089,3152110.0,3337038.0
,Total variable capital = V  = Wp,millions of  $,459625.0,515814.0,589202.0,664783.0,706526.0,772351.0,786528.0,839732.0,928680.0,967993.0,998546.0,1.060901,1.146222,1206396.0
,,millions of  $,680731.0,752654.0,844434.0,945976.0,1066728.0,1184516.0,1.285092,1360078.0,1475916.0,1597705.0,1721347.0,1.852188,2005888.0,2130642.0
,wu=w-v*,,,,,,,,,,,,,,,
,( W u ) p = W u - ( W u ) u,millions of S,217936.0,244450.0,277019.0,316265.0,370083.0,420770.0,462505.0,474927.0,512720.0,562003.0,609131.0,655128.0,714688.0,763061.0
,"( Wu)u  = Wu + W, + Wd",millions of S,462795.0,508204.0,567416.0,629711.0,696.645,763746.0,822587.0,885151.0,963196.0,1035702.0,1112216.0,1197060.0,1291201.0,1367581.0
,ecp  = VVL p =  W p / L p,S/prod. worker,13254.0,14409.0,15.666,17223.0,18.66,20466.0,21726.0,23269.0,24522.0,25321.0,26063.0,26965.0,28275.0,29318.0
,e c u = W u / L u,S/unpr. worker,13487.0,14386.0,15373.0,16617.0,18.433,20130.0,21860.0,22719.0,23526.0,24655.0,25.878,27021.0,28.483,29.444
"•  SEHE denotes Supplement to Employment, Hours, and Earnings,  United States, 1909-84 (BLS 1989). Unless otherwise indicated, all data come  from NIPA (e.g.  BEA 1986), where the first (two or) three digits (and following letter, if any) denote the",,,,,,,,,,,,,,,,
,relevant table number and subsequent digits the line numbers within those tables.,,,,,,,,,,,,,,,
