0,1,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
r',,0.41,0.4,0.38,0.36,0.36,0.36,0.36,0.38,0.36,0.37,0.38,0.4,0.39,0.39,0.39
r,,0.33,0.33,0.33,0.32,0.32,0.3,0.3,0.29,0.31,0.33,0.34,0.34,0.34,0.35,0.35
S,,867.02,968.82,1083.13,1221.07,1346.24,1462.7,1668.19,1724.68,1865.8,2101.78,2258.68,2401.11,2563.38,2752.81,2943.35
K,,2661.7,2920.8,3253.5,3774.6,4225.2,4844.4,5503.7,5859.2,6094.71,6432.91,6706.44,7056.52,7459.32,7895.58,8387.49
u,,0.79,0.83,0.87,0.89,0.89,0.85,0.84,0.77,0.84,0.89,0.89,0.85,0.87,0.9,0.89
r',,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15
r,,0.13,0.13,0.14,0.14,0.13,0.12,0.12,0.11,0.12,0.13,0.13,0.13,0.13,0.14,0.14
P,,347.92,394.15,446.88,512.77,562.3,577.88,648.09,619.39,708.3,833.38,880.15,914.6,974.2,1069.0,1156.4
IBT,,140.0,151.6,165.5,177.8,188.7,212.0,249.3,256.4,280.1,309.5,329.9,345.5,365.0,385.3,411.0
T'n,,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.13,0.13,0.14
,,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.11,0.12,0.11,0.11,0.12,0.12
P.,,297.02,329.95,373.88,429.27,474.3,493.08,566.99,556.29,631.1,739.48,783.75,808.3,847.3,932.8,1021.3
( r )^,,0.07,0.08,0.08,0.08,0.07,0.06,0.05,0.04,0.05,0.06,0.06,0.06,0.06,0.07,0.06
,,0.06,0.07,0.07,0.07,0.06,0.05,0.04,0.03,0.05,0.05,0.05,0.05,0.06,0.06,0.05
"Peon,",,117.6,145.2,174.8,197.2,200.1,177.2,188.0,150.0,213.7,264.7,280.7,271.6,319.8,365.0,351.7
,,2016.46,2216.71,2469.64,2847.3,3203.38,3681.6,4187.64,4471.11,4631.59,4899.36,5121.71,5416.32,5738.57,6110.95,6502.54
