0,1,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
,r'=profit  rate adjusted for utilization = rVu,0.52,0.53,0.48,0.49,0.49,0.46,0.48,0.46,0.43,0.45,0.47,0.45
,r = S/K = Marxian general rate of  profit,,0.37,0.38,0.39,0.38,0.39,0.38,0.39,0.36,0.36,0.36,0.38
BEA  1987,K =C = fixed nonresidential gross private capital,384.3,400.2,438.7,480.8,506.2,526.6,546.2,591.2,650.3,689.7,710.9,738.0
Shaikh  1992,u,0.75,0.7,0.78,0.81,0.79,0.84,0.8,0.85,0.84,0.81,0.77,0.84
,r'=r/u = NIPA-based general rate of  profit,0.27,0.27,0.25,0.26,0.25,0.23,0.23,0.23,0.2,0.21,0.21,0.21
,r =  P/K,0.21,0.19,0.2,0.21,0.19,0.19,0.18,0.19,0.17,0.17,0.16,0.17
B-79tf,IBT=indirect  business tax,20.2,21.3,23.5,25.3,27.7,29.7,29.6,32.3,35.0,37.5,38.7,41.9
,Ff;=rn/u,0.23,0.23,0.2,0.2,0.2,0.18,0.19,0.18,0.16,0.17,0.18,0.17
,rn = Pn/K,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14
