0,1,2,3,4,5,6
TV,398680.0,699168.0,892319.0,1163717.0,1686703.0,2917922.0
"C=MJ,",178823.0,306471.0,384414.0,489379.0,697824.0,1308609.0
GVA,219858.0,392697.0,507905.0,674338.0,988879.0,1609312.0
TP,398680.0,699168.0,892320.0,1163716.0,1686703.0,2918488.0
U'=M'P,178823.0,306471.0,384414.0,489379.0,697824.0,1308609.0
GFP (with IVA),219858.0,392697.0,507906.0,674337.0,988879.0,1609879.0
,23964.0,43094.0,54511.0,74946.0,110084.0,195907.0
CON,152894.0,258600.0,332101.0,418315.0,650676.0,1059878.0
IG,23512.0,40253.0,58043.0,94253.0,138832.0,236438.0
X  - I M,9883.0,-1579.0,139.0,-3065.0,-15462.0,-39213.0
G,9604.0,52330.0,63111.0,89888.0,104750.0,156869.0
