0,1,2,3,4,5,6,7,8,9,10
,svv,2.16,2.19,2.22,2.26,2.33,2.4,2.42,2.4,2.44
,SP =  F P  - N P,1669.4,1726.06,1867.15,2103.7,2258.31,2389.25,2555.52,2755.18,2945.32
,F P  = G F P  - D P,2441.75,2512.59,2706.88,3032.38,3226.3,3387.8,3616.42,3901.4,4151.71
,GFP =  T P  - M P,2576.06,2649.25,2851.36,3193.77,3395.53,3559.99,3797.93,4103.23,4363.57
,P+ =  V A - EC,897.39,875.79,988.4,1142.88,1210.05,1260.1,1339.2,1454.3,1567.4
"112  1""",VA = FD = NNP,2704.8,2782.8,3009.1,3356.8,3577.6,3771.5,4028.6,4359.4,4646.4
"604B1""",EC,1807.41,1907.01,2020.7,2213.93,2367.55,2511.4,2689.4,2905.1,3079.0
,PVEC,0.5,0.46,0.49,0.52,0.51,0.5,0.5,0.5,0.51
