0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
610B86,Lgcsl,thousands,389.0,399.0,420.0,428.0,429.0,429.0,461.0,479.0,507.0,521.0,530.0,555.0,596.0,644.0
,( L p/ L ) n o n g o v t ot,,0.738,0.736,0.733,0.734,0.732,0.725,0.725,0.722,0.717,0.715,0.718,0.717,0.712,0.7
,(Lp)ge»l = (Lp/L)n o n g o v t ot X Lge),thousands,287.0,294.0,308.0,314.0,314.0,311.0,334.0,346.0,363.0,373.0,381.0,398.0,424.0,451.0
,(Lp)g«oi«l=(Lp)gefed +  (Lp)gesl,thousands,797.0,804.0,821.0,841.0,888.0,909.0,939.0,958.0,984.0,995.0,986.0,999.0,1032.0,1037.0
,Lgetoul = Lgefed + Lgel,thousands,1080.0,1093.0,1120.0,1146.0,1214.0,1253.0,1296.0,1327.0,1373.0,1.391,1373.0,1393.0,1450.0,1482.0
,(Lu)getoi»l = L g e t 0 U| -  ( L p ) g e l 0 U |,thousands,283.0,289.0,299.0,305.0,326.0,344.0,357.0,369.0,389.0,396.0,387.0,394.0,418.0,445.0
,TOTAL TRADE  L u = L w h tr + LreUr,thousands,12.433,12.499,12849.0,13213.0,13615.0,13822.0,14179.0,14637.0,14889.0,15.158,15.488,16209.0,16565.0,16500.0
61OB5O,Wholesale trade  L w h tr = (L u) w h tr,thousands,3448.0,3.48,3555.0,3648.0,3782.0,3849.0,3920.0,4041.0,4123.0,4.154,4252.0,4492.0,4617.0,4521.0
610B51,Retail  trade  L r e ur = (L u) r e ur,thousands,8985.0,9.019,9294.0,9565.0,9833.0,9973.0,10259.0,10596.0,10766.0,11.004,11236.0,11717.0,11948.0,11979.0
,Building rent  Lbr = L re -  L gr,thousands,456.0,464.0,465.0,478.0,490.0,503.0,523.0,539.0,559.0,596.0,619.0,680.0,697.0,695.0
,ROYALTIES  Lr = Lfi + L gr,thousands,2.38,2.445,2504.0,2597.0,2676.0,2829.0,2970.0,3114.0,3190.0,3.24,3.34,3522.0,3637.0,3710.0
