0,1,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
,"b = 1 - 
(Pn /S) = social burden rate",0.56,0.56,0.59,0.59,0.59,0.61,0.6,0.6,0.63,0.63
,S,149.94,148.64,165.26,188.25,194.51,204.52,208.2,228.55,236.97,250.25
,c' = 1 -  (I/SP) = social  consumption rate,0.78,0.85,0.76,0.78,0.83,0.84,0.84,0.8,0.8,0.83
,SP,149.91,148.58,165.09,188.26,194.79,204.29,208.23,228.16,236.74,249.88
,,0.22,0.15,0.24,0.22,0.17,0.16,0.16,0.2,0.2,0.17
,s'«u,0.17,0.11,0.19,0.18,0.14,0.14,0.12,0.17,0.16,0.14
,r' = profit  rate adjusted  for utilization = r/u,0.52,0.53,0.48,0.49,0.49,0.46,0.48,0.46,0.43,0.45
