0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,TOTAL TRADE,,,,,,,,,,,,,,,
,Wholesale trade,,,,,,,,,,,,,,,
6O4B50,EC whtr,millions  of $,9568.0,9431.0,10086.0,11354.0,11936.0,12665.0,13029.0,13919.0,15.448,16327.0,16789.0,18074.0,19172.0,19781.0
6O7B5O,FEEwhlr,thousands,2586.0,2528.0,2559.0,2715.0,2784.0,2.83,2821.0,2891.0,3.031,3041.0,3017.0,3069.0,3132.0,3130.0
,ec w h l r=(EC/FEE) w h tr,dollars,3700.0,3731.0,3941.0,4182.0,4287.0,4475.0,4619.0,4815.0,5097.0,5369.0,5565.0,5889.0,6121.0,6320.0
610B 50,Lwhir,thousands,2839.0,2783.0,2818.0,2980.0,3056.0,3103.0,3.092,3164.0,3307.0,3318.0,3.295,3351.0,3421.0,3419.0
,"W w h , r = e c w h C r x L w h tr",millions  of $,10504.0,10382.0,11107.0,12462.0,13102.0,13.887,14281.0,15233.0,16855.0,17814.0,18336.0,19735.0,20941.0,21607.0
,Retail  trade,,,,,,,,,,,,,,,
6O4B5I,EC r e Mr,millions of S,15170.0,155.0,16751.0,18175.0,19176.0,20434.0,20929.0,22392.0,23908.0,25129.0,25561.0,27626.0,29553.0,30102.0
6O7B51,"FEEr e,, r",thousands,5852.0,5805.0,5942.0,6275.0,6384.0,6482.0,6405.0,6570.0,6781.0,6811.0,6698.0,6900.0,7100.0,7040.0
,ecreUr =  (EC/FEE) r e Ur,dollars,2592.0,2687.0,2819.0,28.0,3004.0,3152.0,3.268,3408.0,3526.0,3.689,3816.0,4004.0,4162.0,4276.0
6IOB51,Lrcr,thousands,7851.0,7839.0,7971.0,8302.0,8409.0,8483.0,8379.0,8593.0,8820.0,8867.0,8775.0,8911.0,9075.0,8934.0
,"W r e,,r=ec r e t l r xL r e Ur",millions  of $,20352.0,21061.0,22471.0,24406.0,25259.0,26742.0,27379.0,29287.0,31097.0,32715.0,33487.0,35678.0,37774.0,38200.0
,Building  rental,,,,,,,,,,,,,,,
,,millions  of S,1083.0,1039.0,1136.0,1238.0,1298.0,1401.0,1534.0,1655.0,1771.0,1782.0,1777.0,1908.0,1937.0,2002.0
,"wbr=wre-w,r",,,,,,,,,,,,,,,
,ROYALTIES,,,,,,,,,,,,,,,
,Finance  and  insurance,,,,,,,,,,,,,,,
,ECfi =  E C f i r e - E C re,millions  of S,4033.0,4325.0,4778.0,5312.0,5847.0,6440.0,7030.0,7606.0,8331.0,9056.0,9840.0,10713.0,11491.0,12394.0
6O4B52,EC B re,millions of S,5186.0,5448.0,6029.0,6640.0,7207.0,7870.0,8571.0,9309.0,10178.0,108.0,11669.0,12704.0,13519.0,14486.0
,FEEfi =  F E E f i r e - F E E re,thousands,1172.0,1214.0,1275.0,1357.0,1438.0,1524.0,1592.0,1673.0,1769.0,1861.0,1908.0,1946.0,2031.0,2073.0
6O7B52,FEEf i re,thousands,1635.0,1663.0,1742.0,1826.0,1902.0,1986.0,2060.0,2163.0,2268.0,2339.0,2377.0,2.426,2511.0,2541.0
,ecfi =  (EC/FEE)fi,dollars,3441.0,3563.0,3747.0,3915.0,4066.0,4226.0,4416.0,4546.0,4709.0,4866.0,5157.0,5505.0,5658.0,5979.0
,Lfi  =  L f l r e - L re,thousands,1252.0,1294.0,1357.0,1445.0,1535.0,1630.0,1716.0,1788.0,1879.0,1971.0,2017.0,2053.0,2139.0,2181.0
61OB 52,Lf i re,thousands,1855.0,1868.0,1941.0,2045.0,2141.0,2247.0,2349.0,2433.0,2525.0,2594.0,2628.0,2668.0,2.754,2784.0
